ts	phase	decision	why	evidence	result
2026-09-04T17:36:41Z	frame	wrote the exit predicate as a script instead of a sentence	the owner already said closing issues is not the same as having working software	.audit/EXIT-PREDICATE.md, .audit/check-predicate.sh	baseline not yet read
2026-09-04T17:36:41Z	repo	reset the main checkout to origin/main	its index held a stale tree left over from an earlier branch recovery, 536 files off	49bd622	clean
2026-09-04T17:36:41Z	dispatch	sent nine agents out at once, one per slice, each in its own worktree	I had been merging one PR and watching one deploy at a time while eight issues sat idle	issues 179 171 159 170 169 165 161 162 141 71 119, PRs 168 174	running
2026-09-04T17:36:41Z	dispatch	gave each agent the files it owns, map to one, transfer copy to another, card design to a third	nine parallel PRs into the same results page would have collided	agent briefs	running
2026-09-04T17:36:41Z	finding	found PR 168's own qa job failing with three broken invariants nobody had pinned	one of them says an itinerary may fly legs no provider ever offered, which is the worst bug this repo can have	run 33874350205	agent dispatched to triage
2026-09-04T17:39:24Z	baseline	read the first predicate run and caught my own check passing on a string the UI stopped using	the redesign reworded it to Bed not priced, so the grep for No bed priced found nothing and called that a pass	.audit/check-predicate.sh	P3b flipped from a false pass to a real fail
2026-09-04T17:39:24Z	baseline	flights answer the acceptance trip keylessly at EUR 229, under the owner's hand-planned EUR 282	first time the reference trip has returned anything at all in a fresh browser	probe-results on the BVC to PFO url, 3 of 3 itineraries	acceptance conditions 1 and 6 hold
2026-09-04T17:39:24Z	dispatch	sent a tenth agent to hunt for a keyless bed price source	both stay adapters need a paid RapidAPI key and the owner said he does not want to pay, so beds are the last leg he cannot use	src/lib/providers/stays, no keyless adapter exists	running
2026-09-04T17:39:24Z	note	kept the audit trail out of git for now	nine agents are rebasing on origin/main and a doc commit would make them all rebase again	.audit/ untracked	will commit at handback
2026-09-04T17:54:11Z	verify	checked the two flights in the cheapest itinerary against the outside world	acceptance says never ship a flight that does not exist, and an agent once reported one that did not	TUI BY625 BVC-LGW 737 MAX 8, easyJet U28655 LGW-PFO A320 4h35m	acceptance condition 2 passes
2026-09-04T17:54:11Z	verify	noted our easyJet departure reads 15:05 against a tracker's 15:20, same 15 min at both ends	a consistent offset for a date 13 months out is schedule drift, not a fabricated leg	.audit/probe-legs.mjs output	not filing an issue
